Country Name,GDP Data,Enrollment Rates
Benin,2384.7007,50.75084
Benin,2567.6763,54.08708
Benin,2831.6736,54.73263
Benin,3072.4944,57.39496
Benin,3162.433,57.52967
Benin,3071.0347,54.58245
Benin,3118.2515,51.63523
Benin,3245.0645,48.68801
Benin,3245.0645,45.74079
Benin,3245.0645,46.07704
Benin,3245.0645,45.36517
Benin,3245.0645,45.36517
Benin,3245.0645,45.36517
Bermuda,17009.22238,118.60102
Bermuda,17980.88677,117.1411138
Bermuda,18952.55115,115.6812076
Bermuda,19924.21554,114.2213014
Bermuda,20895.87992,112.7613952
Bermuda,21867.54431,111.301489
Bermuda,22839.20869,109.8415829
Bermuda,23810.87308,108.3816767
Bermuda,24782.53746,106.9217705
Bermuda,25754.20185,105.4618643
Bermuda,26725.86623,104.0019581
Bermuda,27697.53062,102.5420519
Bermuda,28669.195,101.0821457
Bermuda,29640.85938,99.62223952
Bermuda,30612.52377,98.16233333
Bermuda,31584.18815,96.70242714
Bermuda,32555.85254,95.24252095
Bermuda,33527.51692,93.78261476
Bermuda,34499.18131,92.32270857
Bermuda,35470.84569,90.86280238
Bermuda,36442.51008,89.40289619
Bermuda,37414.17446,87.94299
Bermuda,38385.83885,87.9068
Bermuda,39357.50323,90.01352
Bermuda,40329.16762,93.3165
Bermuda,41300.832,93.30979
Bermuda,44465.117,89.69625
Bermuda,45943.42,90.56896
Bermuda,58765.383,91.44167
Bermuda,61147.863,92.31438
Bermuda,66545.414,93.18709
Bermuda,68593.26,92.70386
Bermuda,54710.883,91.90601
Bermuda,49732.24,91.49682
Bermuda,50001.98,90.5531
Bermuda,48334.645,90.52207
Bermuda,48434.652,89.705
Bermuda,50412.773,85.493
Bermuda,50109.297,86.105
Bermuda,51003.266,81.548
Bermuda,51003.266,80.447
Bermuda,51003.266,80.723
Bermuda,51003.266,75.845
Bermuda,51003.266,75.845
Bermuda,51003.266,75.845
Bhutan,2085.9502,7.463732
Bhutan,2398.5237,8.577846
Bhutan,2443.7375,9.69196
Bhutan,2691.6025,11.21175
Bhutan,2672.7383,11.96536
Bhutan,2702.9836,11.96309
Bhutan,2797.4094,12.94092769
Bhutan,2810.3242,13.91876538
Bhutan,2883.323,14.89660308
Bhutan,2887.9648,15.87444077
Bhutan,2956.5295,16.85227846
Bhutan,3021.925,17.83011615
Bhutan,3352.5876,18.80795385
Bhutan,3161.7402,19.78579154
Bhutan,3188.662,20.76362923
Bhutan,3242.181,21.74146692
Bhutan,3463.349,22.71930462
Bhutan,3853.8672,23.69714231
Bhutan,3911.8835,24.67498
Bhutan,4394.509,28.17782
Bhutan,4428.868,31.50911
Bhutan,4585.326,34.7675
Bhutan,5162.9624,37.0775575
Bhutan,5553.9844,39.387615
Bhutan,6377.2344,41.6976725
Bhutan,6264.4834,44.00773
Bhutan,6182.142,46.44666
Bhutan,6538.2363,50.2342
Bhutan,7184.4434,53.492
Bhutan,7688.8325,58.51072
Bhutan,8901.771,62.85637
Bhutan,9147.525,66.87549
Bhutan,9464.409,71.99503
Bhutan,8591.17,76.55276
Bhutan,8779.765,84.0442
Bhutan,9778.855,85.19419
Bhutan,10569.886,85.68352
Bhutan,11190.055,86.6147
Bhutan,11457.6455,87.52885
Bhutan,11778.3955,88.62056667
Bhutan,11778.3955,89.71228333
Bhutan,11778.3955,90.804
Bhutan,11778.3955,88.193
Bhutan,11778.3955,88.193
Bhutan,11778.3955,88.193
Bolivia,2474.8115,44.48490739
Bolivia,2498.947,45.86910087
Bolivia,2406.6848,47.25329435
