,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
93,Indonesia,253,1007,603,43,258,52,259,459,229,144,230,230,2632,134,609,233,291,933,41,106,539,584,276,506,165974,1178,7413,644,128,1501,1294,129,107,173,243,84,270,99,5293,436,260,509,406,96,51
94,Iran,306,3458,1745.5,33,17,1,266,867,91,100,40042,78,68,805,53,27,58,2781,211,102,14,476,291,26817,75,734,77,24,56,0,11,165,319,45,38,52,4,509,11,83,52,26,103,9,0
95,Iraq,9,10,11,12,13,14,15,16,17,18,19,20,17.14285714,14.28571429,11.42857143,8.571428571,5.714285714,2.857142857,0,0,0,0,0,0,0,10,20,12,4,2,4,6,4,11,34.5,58,34,10,21,10,8,16,1,3,3
96,Ireland,,,,10,10.33333333,10.66666667,11,0,0.666666667,1.333333333,2,0,1.5,3,2.666666667,2.333333333,2,2,2,8,1,0.5,0,0,0,0,0,0,0,0,1,2,1.666666667,1.333333333,1,1,0.5,0,2,1.333333333,0.666666667,0,27,27,27
97,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
98,Israel,4.615384615,3.076923077,1.538461538,0,0.625,1.25,1.875,2.5,3.125,3.75,4.375,5,0,0,0,0,7.5,15,0,0,3,7.3,11.6,15.9,20.2,24.5,28.8,33.1,37.4,41.7,46,32,18,4,2,0,0,6,12,9.5,7,7,7,7,7
99,Italy,4689,12,0,7,7,329,2,90,69,48,27,0,2,8,72,44.5,17,36,170,1,46,2,34,20092,2,1,13,17,9,335,3,29,73,18,15,9,299,44,23,5,19,1,18035,28,1
100,Jamaica,6,0,0,0,3.5,7,54,9,49,37.66666667,26.33333333,15,12,9,4,2,0,0,0,0,0,1,13,14.5,16,6,1,5,13,14,15,8,1,0.5,0,0,0,0,0,0,0,0,0,0,0
101,Japan,29,203,673,399,100,49,64,10,27,43,67,144,11,438,10,5300,20,28,57,86,32,25,7,46,271,118,80,87,76,77,180,19976,173,400,301,71,101,49,435,288,84,62,112,15,241
102,Jordan,92.33333333,80.42857143,68.52380952,56.61904762,44.71428571,32.80952381,20.9047619,9,9.25,9.5,9.75,10,15,12.4,9.8,7.2,4.6,2,1,0,9,7,5,6.8125,8.625,10.4375,12.25,14.0625,15.875,17.6875,19.5,21.3125,23.125,24.9375,26.75,28.5625,30.375,32.1875,34,27.2,20.4,13.6,6.8,0,0
103,Kazakhstan,79.75609756,74.3902439,69.02439024,63.65853659,58.29268293,52.92682927,47.56097561,42.19512195,36.82926829,31.46341463,26.09756098,20.73170732,15.36585366,10,61,112,56,0,0,0,0,3,3,3,48,0,0.333333333,0.666666667,1,22.5,44,2,0,0,5,2,1,0,0,0,0,0,7,14,4
104,Kenya,0,37.5,75,37.5,0,12.5,25,37.5,50,47,44,0,0,0,0,0,0,86,40,2,27,31,130,40,135,28,237,39,66,35,228,33,73,128,0,119,61,26,134,187,285,9,0,219,10
105,Kiribati,2.111111111,2,1.888888889,1.777777778,1.666666667,1.555555556,1.444444444,1.333333333,1.222222222,1.111111111,1,0.888888889,0.777777778,0.666666667,0.555555556,0.444444444,0.333333333,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
